,rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,neurons_layer_1,neurons_layer_2,neurons_layer_3,dropout_1,dropout_2,learning_rate,mean_fit_time
3,1,-0.6732005874315897,0.00010980093795985245,-0.7609240810076395,0.004860823437932294,relu,256,20,256,128,64,0.5,0.1,0.001,1972.1182876427968
0,2,-0.6711303393046061,0.002543429714373547,-0.748898983001709,0.007714139077174448,relu,256,20,256,128,64,0.5,0.3,0.001,1980.818442583084
9,3,-0.6694566210110983,0.0030781023908028706,-0.7656372586886088,0.004338737704072394,relu,256,20,256,128,64,0.3,0.1,0.001,1962.210432211558
6,4,-0.6691040396690369,0.0025367417956628792,-0.7638975580533346,0.0044569294887648915,relu,256,20,256,128,64,0.3,0.3,0.001,2029.2971371809642
4,5,-0.6325856645901998,0.05074938271649874,-0.6650307774543762,0.07364422119181083,relu,256,20,256,128,64,0.5,0.1,0.01,1971.8599491119385
1,6,-0.5973498423894247,0.05128824194160517,-0.6100112597147623,0.0692614070003441,relu,256,20,256,128,64,0.5,0.3,0.01,1858.8936411539714
10,7,-0.59589155515035,0.04926698399817288,-0.6087590257326762,0.06747000108450252,relu,256,20,256,128,64,0.3,0.1,0.01,2031.6088200410206
7,8,-0.5824606418609619,0.030325172527533348,-0.584947923819224,0.03376979916739466,relu,256,20,256,128,64,0.3,0.3,0.01,2032.310353199641
2,9,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.5,0.3,0.1,1920.9526410102844
5,9,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.5,0.1,0.1,1980.8819661140442
8,9,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.3,0.3,0.1,1964.849311510722
11,9,-0.5610518852869669,5.407956570491365e-05,-0.5610518852869669,2.7029127343906353e-05,relu,256,20,256,128,64,0.3,0.1,0.1,1985.7639496326447
